"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT03","WT04","WT05","WT06","WT11"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-01-17","5.59"," 1628"," 1619","0.00",,,"46","55","37",,"  270","  280","0.0","15.0","17.0",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-01-18","4.70"," 1854"," 1852","0.00",,,"47","54","39",,"  270","  270","0.0","10.1","12.1",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-01-19","4.25"," 0812"," 2010","0.00",,,"50","55","45",,"   50","   70","0.0","12.1","13.0",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-01-20","3.58"," 0916"," 0914","0.00",,,"47","54","40",,"   10","   10","0.0","12.1","13.0","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-01-21","3.58"," 1212"," 0037","0.00",,,"47","55","39",,"   90","  120","0.0","8.9","10.1","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-01-22","3.80"," 1318"," 1317","0.00",,,"50","60","39",,"  210","  210","0.0","12.1","14.1","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-01-23","10.29"," 1329"," 1935","0.21",,,"52","56","48",,"  170","  160","0.0","23.0","29.1","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-01-24","9.17"," 1455"," 1444","0.19",,,"50","55","45",,"  260","  250","0.0","21.0","23.9","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-01-25","10.74"," 1334"," 1226","0.91",,,"48","54","42",,"  160","  160","0.0","38.9","45.0","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-01-26","7.38"," 0239"," 0238","0.24",,,"47","53","41",,"  140","  140","0.0","19.9","21.9","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-01-27","7.83"," 2132"," 2047","0.00",,,"47","57","37",,"  260","  260","0.0","17.0","21.0",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-01-28","4.70"," 2121"," 2118","0.00",,,"46","54","38",,"  210","  210","0.0","10.1","12.1",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-01-29","9.40"," 1540"," 1342","0.07",,,"50","55","44",,"  280","  290","0.0","17.0","21.0",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-01-30","2.24"," 1825"," 1840","0.00",,,"46","53","38",,"   30","   20","0.0","8.9","8.9",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-01-31","6.04"," 0314"," 0314","0.00",,,"49","58","39","    0","   40","   40","0.0","19.9","21.0",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-02-01","2.91"," 1219"," 1221","0.00",,,"47","55","39",,"  360","  360","0.0","8.1","8.1",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-02-02","2.24"," 1215"," 1211","0.00",,,"49","56","41",,"   10","  360","0.0","6.9","8.1","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-02-03","2.24"," 1740"," 1738","0.00",,,"54","63","45",,"  270","  260","0.0","10.1","13.0","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-02-04","3.80"," 1713"," 1712","0.00",,,"60","71","48",,"  270","  270","0.0","13.0","14.1",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-02-05","10.29"," 2354"," 2356","0.00",,,"55","63","47",,"  250","  250","0.0","25.9","30.0","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-02-06","26.62"," 1344"," 1343","0.00",,,"50","53","46",,"  270","  270","0.0","44.1","51.0",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-02-07","11.63"," 1138"," 1121","0.00",,,"49","55","42",,"  320","  330","0.0","21.0","23.9",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-02-08","8.05"," 0041"," 0040","0.00",,,"49","56","41",,"  340","  330","0.0","23.0","25.9",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-02-09","14.54"," 1440"," 2337","0.62",,,"48","53","43",,"  190","  180","0.0","25.9","31.1","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-02-10","10.29"," 2010"," 2010","0.56",,,"48","52","43",,"  180","  180","0.0","21.9","25.9","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-02-11","10.51"," 1127"," 0501","0.56",,,"47","51","42",,"  230","  240","0.0","25.9","32.0","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-02-12","8.72"," 0338"," 1548","0.41",,,"47","54","39",,"  130","  170","0.0","17.9","23.9","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-02-13","6.49"," 0752"," 0751","0.00",,,"48","57","38",,"  360","  360","0.0","19.9","21.9",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-02-14","5.59"," 1510"," 1509","0.00",,,"49","55","42",,"  260","  270","0.0","13.0","15.0",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-02-15","6.04"," 1004"," 1635","0.00",,,"48","55","41","    0","   90","  210","0.0","13.0","15.0",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-02-16","9.62"," 1453"," 1443","0.00",,,"53","59","46","    0","  170","  180","0.0","17.0","23.9",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-02-17","9.84"," 1053"," 1253","0.81",,,"54","59","48","    0","  140","  150","0.0","23.0","29.1","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-02-18","6.71"," 1635"," 1914","0.07",,,"54","57","50",,"  170","  140","0.0","17.0","21.9","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-02-19","16.11"," 1431"," 1431","0.86",,,"54","59","49",,"  140","  150","0.0","29.1","36.0","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-02-20","13.65"," 0142"," 0047","0.16",,,"54","57","50",,"  170","  170","0.0","25.1","32.0","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-02-21","8.95"," 2330"," 2354","0.16",,,"55","59","50",,"  160","  150","0.0","17.9","21.9","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-02-22","12.97"," 0623"," 1045","0.73",,,"50","54","46",,"  240","  250","0.0","28.0","31.1","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-02-23","10.51"," 0257"," 0255","0.06",,,"49","53","44",,"  360","  360","0.0","29.1","31.1",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-02-24","13.87"," 1146"," 1145","0.70",,,"50","55","44",,"  230","  230","0.0","21.0","25.1","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-02-25","8.28"," 0650"," 0146","0.41",,,"52","55","48",,"  110","  170","0.0","17.0","23.9","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-02-26","4.70"," 1616"," 1614","0.01",,,"53","60","45","    0","  230","  220","0.0","16.1","21.0",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-02-27","6.93"," 1533"," 1739","0.00",,,"55","67","43","    0","  270","  270","0.0","19.9","21.9",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-02-28","9.84"," 1329"," 0643","0.00",,,"55","62","48","    0","   10","   10","0.0","19.9","23.9",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-03-01","5.37"," 1643"," 1643","0.04",,,"50","57","42","    0","  260","  260","0.0","17.0","19.9",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-03-02","10.51"," 1301"," 1253","0.12",,,"51","56","46","    0","  270","  290","0.0","28.0","32.0","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-03-03","5.37"," 2234"," 2202","0.26",,,"49","55","42","    0","  110","  110","0.0","15.0","17.9","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-03-04","14.99"," 1643"," 1654","0.37",,,"55","60","49","    0","  140","  140","0.0","31.1","38.9","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-03-05","4.70"," 1802"," 1801","0.13",,,"55","60","49",,"   50","   50","0.0","17.9","21.0","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-03-06","7.83"," 1835"," 1835","0.01",,,"58","64","52","    0","  290","  290","0.0","19.9","21.9",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-03-07","11.41"," 1626"," 1625","0.00",,,"55","59","50","    0","  250","  250","0.0","25.1","29.1",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-03-08","15.43"," 1635"," 1628","0.00",,,"54","58","50","    0","  250","  250","0.0","31.1","36.0",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-03-09","12.53"," 1645"," 1647","0.00",,,"51","57","45",,"  270","  260","0.0","31.1","36.0",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-03-10","9.40"," 1605"," 1520","0.00",,,"53","60","46",,"  260","  260","0.0","17.9","21.9",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-03-11","5.82"," 1738"," 1735","0.00",,,"53","62","43",,"  280","  280","0.0","16.1","17.9",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-03-12","7.61"," 1826"," 1921","0.00",,,"55","65","44",,"  270","  260","0.0","21.9","25.1","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-03-13","10.07"," 1648"," 1529","0.00",,,"53","59","47",,"  280","  270","0.0","23.0","28.0",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-03-14","9.62"," 1749"," 1800","0.01",,,"55","64","45","    0","  260","  250","0.0","28.0","31.1","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-03-15","16.55"," 1843"," 1543","0.00",,,"52","57","47","    0","  250","  240","0.0","31.1","40.9",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-03-16","15.88"," 1733"," 1733","0.00",,,"55","60","49","    0","  260","  260","0.0","25.1","29.1",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-03-17","12.97"," 1818"," 1834","0.00",,,"56","63","48","    0","  250","  260","0.0","28.0","31.1",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-03-18","7.38"," 1815"," 1817","0.00",,,"60","72","48","    0","  270","  270","0.0","23.9","25.9","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-03-19","4.92"," 1738"," 1738","0.00",,,"63","76","50","    0","  260","  260","0.0","17.0","19.9",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-03-20","4.70"," 2024"," 2022","0.00",,,"65","74","55",,"  270","  270","0.0","15.0","17.0",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-03-21","7.61"," 1737"," 1735","0.00",,,"58","63","52",,"  280","  290","0.0","17.0","19.9","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-03-22","6.71"," 1614"," 1716","0.00",,,"59","64","53",,"  200","  230","0.0","15.0","16.1",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-03-23","8.05"," 1532"," 1515","0.00",,,"57","61","53",,"  240","  240","0.0","17.0","21.0",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-03-24","11.18"," 1330"," 1330","0.03",,,"61","69","52",,"  190","  190","0.0","30.0","36.0","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-03-25","13.20"," 2135"," 2123","0.05",,,"58","63","52","    0","  260","  250","0.0","23.9","28.0","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-03-26","13.20"," 1726"," 1906","0.00",,,"55","62","48","    0","  260","  250","0.0","25.9","30.0",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-03-27","14.32"," 1905"," 1909","0.00",,,"56","65","47","    0","  260","  260","0.0","31.1","34.9",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-03-28","21.47"," 2132"," 1820","0.00",,,"56","60","51","    0","  270","  260","0.0","32.0","38.0",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-03-29","17.00"," 0207"," 0200","0.00",,,"55","60","50","    0","  250","  250","0.0","29.1","32.0",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-03-30","8.28"," 1627"," 1621","0.00",,,"61","73","49","    0","  270","  270","0.0","21.9","25.1",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-03-31","14.99"," 1833"," 1823","0.00",,,"59","68","50","    0","  250","  250","0.0","31.1","34.9",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-04-01","21.47"," 2034"," 2033","0.00",,,"53","58","48",,"  260","  260","0.0","45.0","53.0","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-04-02","20.58"," 2148"," 2032","0.00",,,"51","57","45",,"  270","  260","0.0","32.0","38.0",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-04-03","14.32"," 1728"," 1759","0.00",,,"49","55","42",,"  260","  250","0.0","29.1","32.0",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-04-04","8.95"," 1713"," 1725","0.00",,,"52","60","43",,"  270","  270","0.0","23.0","25.9",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-04-05","12.97"," 1548"," 1816","0.00",,,"54","61","46","    0","  250","  240","0.0","31.1","36.0",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-04-06","9.84"," 1527"," 1236","0.24",,,"51","55","46","    0","  270","  170","0.0","19.9","23.9","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-04-07","21.03"," 1524"," 1524","0.06",,,"50","55","45","    0","  260","  270","0.0","42.9","48.1",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-04-08","9.40"," 0058"," 2359","0.10",,,"50","56","44","    0","  280","  260","0.0","21.9","25.9",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-04-09","12.75"," 1628"," 1546","0.41",,,"51","58","43","    0","  260","  260","0.0","25.1","30.0","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-04-10","22.59"," 1630"," 1641","0.01",,,"53","57","48","    0","  260","  260","0.0","36.9","45.0",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-04-11","17.90"," 1727"," 1659","0.00",,,"53","58","47","    0","  250","  250","0.0","36.0","42.9","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-04-12","10.29"," 1834"," 1833","0.00",,,"52","61","42","    0","  250","  250","0.0","31.1","34.9",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-04-13","19.01"," 1710"," 1721","0.00",,,"51","55","46","    0","  250","  250","0.0","32.0","36.9",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-04-14","11.86"," 1529"," 1529","0.00",,,"51","57","44","    0","  270","  270","0.0","29.1","32.0",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-04-15","7.83"," 1613"," 1616","0.00",,,"51","59","42","    0","  240","  250","0.0","23.0","28.0",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-04-16","7.61"," 1615"," 1609","0.00",,,"56","65","46","    0","  190","  190","0.0","23.0","25.9",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-04-17","9.17"," 1734"," 1919","0.00",,,"62","70","53","    0","  260","  260","0.0","23.0","23.9",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-04-18","10.74"," 1209"," 1209","0.04",,,"58","65","50","    0","  250","  250","0.0","28.0","29.1","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-04-19","11.41"," 1540"," 1528","0.01",,,"54","58","50","    0","  250","  260","0.0","21.9","25.1",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-04-20","10.07"," 1428"," 1427","0.69",,,"52","57","46","    0","  280","  280","0.0","25.9","32.0","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-04-21","12.75"," 1828"," 1828","0.00",,,"51","60","42","    0","  260","  270","0.0","29.1","33.1",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-04-22","13.42"," 1652"," 1645","0.00",,,"55","59","50","    0","  250","  260","0.0","23.9","29.1",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-04-23","11.63"," 1714"," 1540","0.00",,,"59","69","48","    0","  260","  270","0.0","23.0","25.9",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-04-24","9.84"," 1707"," 1704","0.00",,,"63","76","50","    0","  270","  270","0.0","25.9","31.1",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-04-25","13.65"," 1311"," 1310","0.00",,,"59","69","49","    0","  270","  280","0.0","23.9","28.0",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-04-26","12.75"," 1434"," 1513","0.00",,,"53","57","49","    0","  270","  260","0.0","23.9","28.0","    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-04-27","14.32"," 1702"," 1518","0.00",,,"54","59","49","    0","  250","  250","0.0","25.9","30.0",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-04-28","18.12"," 1739"," 1930","0.00",,,"56","61","50","    0","  270","  260","0.0","33.1","40.0",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-04-29","15.66"," 1754"," 1754","0.00",,,"56","63","48","    0","  260","  260","0.0","31.1","38.0",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-04-30","17.45"," 1636"," 1618","0.00",,,"56","62","50","    0","  260","  260","0.0","33.1","42.9",,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","2001-05-01","18.12"," 1551"," 1449","0.00",,,"0","65","50","    0","  250","  260","0.0","31.1","34.9","    1",,,,,
